Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
86,12759344,BOOKKEEPER-814,Fixed,"4.3.0","4.4.0;4.3.1"
87,12759343,BOOKKEEPER-813,Fixed,"4.3.0","4.4.0;4.3.1"
88,12759336,BOOKKEEPER-809,Fixed,"4.3.0","4.4.0;4.3.1"
89,12757666,BOOKKEEPER-805,Fixed,"4.3.0","4.4.0;4.3.1"
90,12757378,BOOKKEEPER-804,Fixed,"4.3.0","4.4.0;4.3.1"
91,12757019,BOOKKEEPER-803,Fixed,"","4.4.0"
92,12757018,BOOKKEEPER-802,Fixed,"","4.4.0"
93,12757015,BOOKKEEPER-801,Fixed,"","4.4.0"
94,12756976,BOOKKEEPER-800,Fixed,"","4.0.0;4.4.0;4.3.1"
95,12756950,BOOKKEEPER-799,Fixed,"","4.0.0;4.4.0;4.3.1"
96,12756421,BOOKKEEPER-798,Fixed,"",""
97,12756403,BOOKKEEPER-797,Fixed,"4.3.0","4.4.0"
98,12750774,BOOKKEEPER-795,Fixed,"","4.0.0;4.4.0;4.3.1"
99,12748859,BOOKKEEPER-794,Fixed,"","4.4.0"
100,12747757,BOOKKEEPER-793,Fixed,"","4.4.0"
101,12742925,BOOKKEEPER-786,Fixed,"","4.3.0"
102,12742159,BOOKKEEPER-785,Fixed,"","4.3.0"
103,12741000,BOOKKEEPER-784,Fixed,"","4.3.0"
104,12740954,BOOKKEEPER-783,Fixed,"","4.3.0"
105,12737489,BOOKKEEPER-780,Fixed,"","4.3.0"
106,12737467,BOOKKEEPER-779,Fixed,"","4.3.0"
107,12737463,BOOKKEEPER-778,Fixed,"","4.3.0"
108,12737457,BOOKKEEPER-777,Fixed,"","4.3.0"
109,12730017,BOOKKEEPER-774,Fixed,"","4.3.0"
110,12722460,BOOKKEEPER-769,Fixed,"","4.4.0"
111,12721740,BOOKKEEPER-768,Fixed,"4.2.2","4.3.0"
112,12718342,BOOKKEEPER-767,Fixed,"","4.3.0;4.2.3"
113,12718196,BOOKKEEPER-766,Fixed,"","4.3.0;4.2.3"
114,12718191,BOOKKEEPER-765,Fixed,"","4.3.0;4.2.3"
115,12717259,BOOKKEEPER-763,Fixed,"","4.3.0"
116,12713184,BOOKKEEPER-755,Fixed,"","4.3.0;4.2.3"
117,12712781,BOOKKEEPER-752,Fixed,"4.2.2","4.2.3"
