Index,IssueID,Name,InjectVersion,OpeningVersion,AffectedVersions,FixVersions
260,12536471,OPENJPA-2102,2.0.1,1.2.2,"2.0.1;2.2.0","2.3.0"
261,12536421,OPENJPA-2101,2.1.1,1.2.2,"2.1.1;2.2.0","2.2.0"
262,12536413,OPENJPA-2100,2.2.0,1.2.2,"2.2.0","2.2.0"
263,12535862,OPENJPA-2097,2.1.1,1.2.2,"2.1.1",""
264,12535520,OPENJPA-2095,2.2.0,1.2.2,"2.2.0;1.2.3","2.2.1;1.2.3;2.3.0"
265,12535036,OPENJPA-2094,N/A,1.2.2,"","2.2.0;2.2.1;2.2.2;2.3.0;2.4.0"
266,12534172,OPENJPA-2088,N/A,1.2.2,"",""
267,12533177,OPENJPA-2083,2.1.1,1.2.2,"2.1.1","2.2.0"
268,12532202,OPENJPA-2077,2.2.0,1.2.2,"2.2.0","2.2.0"
269,12531801,OPENJPA-2076,2.2.0,1.2.2,"2.2.0","2.2.0"
270,12531097,OPENJPA-2073,2.2.0,1.2.2,"2.2.0","2.2.0"
271,12530831,OPENJPA-2072,1.2.1,1.2.2,"1.2.1;1.2.2;1.2.3","2.2.1;1.2.3;2.3.0"
272,12530781,OPENJPA-2071,2.2.0,1.2.2,"2.2.0","2.2.0"
273,12530585,OPENJPA-2070,2.2.0,1.2.2,"2.2.0","2.2.0"
274,12530384,OPENJPA-2069,2.2.0,1.2.2,"2.2.0","2.2.0"
275,12529315,OPENJPA-2067,2.2.0,1.2.2,"2.2.0;1.2.3","2.2.1;1.2.3;2.3.0"
276,12528797,OPENJPA-2066,1.1.0,1.2.2,"1.1.0;2.1.1;2.2.0","1.2.0;2.2.0"
277,12528728,OPENJPA-2065,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.2.0"
278,12527112,OPENJPA-2060,2.2.0,1.2.2,"2.2.0","2.2.0"
279,12527104,OPENJPA-2059,2.2.0,1.2.2,"2.2.0","2.2.0"
280,12525645,OPENJPA-2056,2.0.0,1.2.2,"2.0.0;2.0.1;2.1.1","2.2.0"
281,12525346,OPENJPA-2055,2.1.0,1.2.2,"2.1.0","2.1.1;2.2.0"
282,12525194,OPENJPA-2053,2.0.0,1.2.2,"2.0.0","2.2.0"
283,12523252,OPENJPA-2051,2.0.0,1.2.2,"2.0.0;2.1.1;2.2.0","2.2.0;1.2.3"
284,12521063,OPENJPA-2045,2.1.0,1.2.2,"2.1.0;2.2.0","2.2.0"
285,12520095,OPENJPA-2044,2.0.1,1.2.2,"2.0.1;2.1.1;2.2.0","2.2.0"
286,12518519,OPENJPA-2039,2.1.1,1.2.2,"2.1.1;2.2.0","2.2.0"
287,12518481,OPENJPA-2038,2.1.1,1.2.2,"2.1.1",""
288,12515578,OPENJPA-2036,2.1.0,1.2.2,"2.1.0","2.2.0"
289,12514992,OPENJPA-2034,2.1.0,1.2.2,"2.1.0","2.2.0"
290,12513018,OPENJPA-2027,2.1.0,1.2.2,"2.1.0","2.2.0"
291,12512342,OPENJPA-2025,2.1.0,1.2.2,"2.1.0","2.2.0"
292,12511536,OPENJPA-2022,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.4.0"
293,12510474,OPENJPA-2018,2.1.0,1.2.2,"2.1.0","2.3.0"
294,12509757,OPENJPA-2015,1.2.2,1.2.2,"1.2.2;1.2.3","1.2.3"
295,12509670,OPENJPA-2013,2.1.0,1.2.2,"2.1.0","2.2.0"
296,12509650,OPENJPA-2011,2.0.1,1.2.2,"2.0.1;2.1.0","2.2.0"
297,12509634,OPENJPA-2010,2.0.1,1.2.2,"2.0.1;2.1.0","2.2.0"
298,12509605,OPENJPA-2009,N/A,1.2.2,"",""
299,12509380,OPENJPA-2008,2.1.0,1.2.2,"2.1.0","2.2.0"
300,12508346,OPENJPA-2007,2.0.0,1.2.2,"2.0.0;2.0.1;2.1.0;2.2.0","2.2.0"
301,12508321,OPENJPA-2006,1.2.2,1.2.2,"1.2.2;2.1.0;2.2.0","2.2.0;1.2.3"
302,12508229,OPENJPA-2005,2.1.0,1.2.2,"2.1.0","2.2.0"
303,12507216,OPENJPA-2000,2.1.0,1.2.2,"2.1.0","2.2.0"
304,12506760,OPENJPA-1996,2.1.0,1.2.2,"2.1.0","2.1.1;2.2.0;1.2.3"
305,12506673,OPENJPA-1995,N/A,1.2.2,"",""
306,12506318,OPENJPA-1994,N/A,1.2.2,"","2.2.0"
